brand,chain,report_date,report_month,units_4w,dollars_4w,stores_4w,velocity_spw_4w,units_52w,dollars_52w,stores_52w,velocity_spw_52w,units_ytd,dollars_ytd,stores_ytd,velocity_spw_ytd,source_file
NEOLEA,12 Weeks,2025-06-15,2025-06-01,,,,,0.0,0.0,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,24 Weeks,2025-06-15,2025-06-01,,,,,0.0,0.0,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,4 Weeks,2025-06-15,2025-06-01,,,,,0.0,0.0,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45466,2025-06-15,2025-06-01,,,,,110.1,1507.01,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45473,2025-06-15,2025-06-01,,,,,35.8,453.39,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45480,2025-06-15,2025-06-01,,,,,36.9,573.79,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45487,2025-06-15,2025-06-01,,,,,27.5,458.86,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45494,2025-06-15,2025-06-01,,,,,27.7,454.83,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45501,2025-06-15,2025-06-01,,,,,29.3,472.31,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45508,2025-06-15,2025-06-01,,,,,31.2,510.57,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45515,2025-06-15,2025-06-01,,,,,28.2,449.79,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45522,2025-06-15,2025-06-01,,,,,22.8,367.7,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45529,2025-06-15,2025-06-01,,,,,29.8,496.44,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45536,2025-06-15,2025-06-01,,,,,27.4,455.84,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45543,2025-06-15,2025-06-01,,,,,24.7,371.69,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45550,2025-06-15,2025-06-01,,,,,20.6,320.46,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45557,2025-06-15,2025-06-01,,,,,13.8,218.06,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45564,2025-06-15,2025-06-01,,,,,18.900000000000002,285.42,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45571,2025-06-15,2025-06-01,,,,,27.0,427.76,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45578,2025-06-15,2025-06-01,,,,,17.9,299.24,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45585,2025-06-15,2025-06-01,,,,,24.1,397.04,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45592,2025-06-15,2025-06-01,,,,,21.4,346.28999999999996,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45599,2025-06-15,2025-06-01,,,,,52.9,751.55,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45606,2025-06-15,2025-06-01,,,,,53.2,756.43,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
NEOLEA,45613,2025-06-15,2025-06-01,,,,,44.7,624.98,,,,,,,SPINS PowerTabs Neolea Data Ending 06-15-25.xlsb
